"","attributes","articleID","record"
"224","MT","4","Electronic"
"225","RD","4","20141208"
"226","AN","4","2014-43498-006"
"227","CP","4","The Author(s). 2013"
"228","UR","4","http://proxy.lib.umich.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2014-43498-006&site=ehost-live&scope=site"
"229","TI","5","Psychometric properties of the HOME inventory using Rasch analysis."
"230","PS","5","Publication Status: Fully Published"
"231","AU","5","Glad, Johan"
"232","AU","5","Kottorp, Anders"
"233","AU","5","Jergeby, Ulla"
"234","AU","5","Gustafsson, Carina"
"235","AU","5","Sonnander, Karin"
"236","AF","5","Glad, Johan, johan.glad@socialstyrelsen.se, Department of Public Health and Caring Sciences, Disability and Habilitation, Uppsala University, Uppsala, Sweden"
"237","AF","5","Kottorp, Anders, Division of Occupational Therapy, Department of Neurobiology, Karolinska Institutet, Stockholm, Sweden"
"238","AF","5","Jergeby, Ulla, Swedish National Board of Health and Welfare, Stockholm, Sweden"
"239","AF","5","Gustafsson, Carina, Department of Public Health and Caring Sciences, Disability and Habilitation, Uppsala University, Uppsala, Sweden"
"240","AF","5","Sonnander, Karin, Department of Public Health and Caring Sciences, Disability and Habilitation, Uppsala University, Uppsala, Sweden"
"241","AD","5","Glad, Johan, Department of Public Health and Caring Sciences, Disability and Habilitation, Uppsala University, Box 564, SE-751 22, Uppsala, Sweden, johan.glad@socialstyrelsen.se"
"242","SO","5","Research on Social Work Practice"
"243","VI","5","24"
"244","IP","5","2"
"245","SD","5","Mar, 2014"
"246","YR","5","2014"
"247","PM","5","Mar, 2014"
"248","PG","5","235-246"
"249","PC","5","12"
"250","SP","5","235"
"251","PU","5","US : Sage Publications"
"252","PN","5","12"
"253","SN","5","1049-7315, Print"
"254","SN","5","1552-7581, Electronic"
"255","DO","5","10.1177/1049731513493518"
"256","LA","5","English"
"257","KP","5","HOME Inventory"
"258","KP","5","Rasch analysis"
"259","KP","5","psychometrics"
"260","KP","5","social workers"
"261","KP","5","home environments"
"262","KP","5","at risk populations"
"263","SU","5","Home Environment; Psychometrics; Social Workers"
"264","AB","5","Objectives: The aim of this pilot study was to explore psychometric properties of two versions of the Home Observation for Measurement of the Environment Inventory in a Swedish social service sample. Method: Social workers employed at 22 Swedish child protections agencies participated in the data collection. Both classic test theory approaches and Rasch analysis were used. Seventy-five (46 double) protocols of the Early Childhood version and 65 (43 double) protocols of the Middle Childhood version were obtained. Results: The interobserver reliability and Rasch reliability displayed acceptable results. Targeting was satisfying for the middle and more adequate home environments. However, there were mixed results concerning model fit. Conclusion: The scores may be used to identify families with inadequate home environments where children may be at risk. (PsycINFO Database Record (c) 2014 APA, all rights reserved) (journal abstract)"
"265","MJ","5","Home Environment; Psychometrics; Social Workers"
"266","MN","5","At Risk Populations; Item Response Theory"
"267","CL","5","Health Psychology Testing (2226)"
"268","CL","5","Health & Mental Health Treatment & Prevention (3300)"
"269","PO","5","Human (10)"
"270","PO","5","Male (30)"
"271","PO","5","Female (40)"
"272","LO","5","Sweden"
"273","AG","5","Childhood (birth-12 yrs) (100)"
"274","AG","5","Preschool Age (2-5 yrs) (160)"
"275","AG","5","School Age (6-12 yrs) (180)"
"276","AG","5","Adulthood (18 yrs & older) (300)"
"277","TM","5","Home Observation for Measurement of the Environment Inventory-Early Childhood"
"278","TM","5","Home Observation for Measurement of the Environment Inventory-Middle Childhood"
"279","GR","5","Sponsor: Swedish National Board of Health and Welfare, Sweden; Recipients: No recipient indicated"
"280","MD","5","Empirical Study"
"281","MD","5","Interview"
"282","MD","5","Quantitative Study"
"283","PT","5","Journal"
"284","PT","5","Peer Reviewed Journal"
"285","AT","5","Journal Article"
"286","MT","5","Electronic"
"287","RD","5","20140414"
"288","AN","5","2014-06791-007"
"289","FR","5","56"
"290","CP","5","The Author(s). 2013"
"291","UR","5","http://proxy.lib.umich.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2014-06791-007&site=ehost-live&scope=site"
"292","TI","6","Beyond multiplication: Incorporating importance into client satisfaction measures."
"293","PS","6","Publication Status: Fully Published"
"294","AU","6","Hsieh, Chang-Ming"
"295","AF","6","Hsieh, Chang-Ming, chsieh@uic.edu, University of Illinois at Chicago, Chicago, IL, US"
"296","AD","6","Hsieh, Chang-Ming, Jane Addams College of Social Work, University of Illinois at Chicago, 1040 West Harrison Street (MC 309), Chicago, IL, US, 60607-7134, chsieh@uic.edu"
"297","SO","6","Research on Social Work Practice"
"298","VI","6","24"
"299","IP","6","4"
"300","SD","6","Jul, 2014"
"301","YR","6","2014"
"302","PM","6","Jul, 2014"
"303","PG","6","470-476"
"304","PC","6","7"
"305","SP","6","470"
"306","PU","6","US : Sage Publications"
"307","PN","6","7"
"308","SN","6","1049-7315, Print"
"309","SN","6","1552-7581, Electronic"
"310","DO","6","10.1177/1049731513511668"
"311","LA","6","English"
"312","KP","6","client satisfaction measures"
"313","KP","6","perceived importance incorporation"
"314","KP","6","test scores"
"315","KP","6","elderly case management"
"316","KP","6","psychometrics"
"317","KP","6","test reliability"
"318","KP","6","test validity"
"319","SU","6","Case Management; Client Satisfaction; Psychometrics; Test Reliability; Test Validity"
"320","AB","6","Objective: This article brings the discussions on incorporating perceived importance across study areas into the study of client satisfaction and cautions the use of multiplicative scores (multiplying satisfaction and importance scores) as a weighting method. An alternative weighting method is provided. Method: Analyze data from a client satisfaction survey of 103 clients of a publicly funded elderly case management service unit located in a large U.S. Midwest region city. Results: The alternative weighted score correlated higher with all the global client satisfaction measures than the multiplicative score. Conclusion: Using multiplicative scores to represent global client satisfaction should be avoided. The proposed alternative weighting method is a reasonable way to incorporate perceived importance to represent global client satisfaction. (PsycINFO Database Record (c) 2014 APA, all rights reserved) (journal abstract)"
"321","MJ","6","Case Management; Client Satisfaction; Psychometrics; Test Reliability; Test Validity"
"322","MN","6","Elder Care; Test Scores"
"323","CL","6","Health Psychology Testing (2226)"
"324","CL","6","Health & Mental Health Services (3370)"
"325","PO","6","Human (10)"
"326","PO","6","Male (30)"
"327","PO","6","Female (40)"
"328","LO","6","US"
"329","AG","6","Adulthood (18 yrs & older) (300)"
"330","AG","6","Middle Age (40-64 yrs) (360)"
"331","AG","6","Aged (65 yrs & older) (380)"
"332","AG","6","Very Old (85 yrs & older) (390)"
"333","TM","6","Client Satisfaction Survey"
"334","TM","6","Home Care Satisfaction Measure: Case Management Service-13"
"335","TM","6","Client Satisfaction Questionnaire-8"
"336","TM","6","Reid-Gundlach Social Service Satisfaction Scale"
"337","TM","6","Face-to-Face Interviews"
"338","TM","6","Quality of Life Index"
"339","MD","6","Empirical Study"
"340","MD","6","Interview"
"341","MD","6","Quantitative Study"
"342","PT","6","Journal"
"343","PT","6","Peer Reviewed Journal"
"344","AT","6","Journal Article"
"345","MT","6","Electronic"
"346","RD","6","20140818"
"347","AN","6","2014-28121-008"
"348","CP","6","The Author(s). 2013"
"349","UR","6","http://proxy.lib.umich.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2014-28121-008&site=ehost-live&scope=site"
"350","TI","7","Children in residential care: Development and validation of a Group Climate Instrument."
"351","PS","7","Publication Status: Fully Published"
"352","AU","7","Strijbosch, E. L. L."
"353","AU","7","van der Helm, G. H. P."
"354","AU","7","van Brandenburg, M. E. T."
"355","AU","7","Mecking, M."
"356","AU","7","Wissink, I. B."
"357","AU","7","Stams, G. J. J. M."
"358","AF","7","Strijbosch, E. L. L., e.strijbosch@juzt.nl, Juzt Youth Care, Breda, Netherlands"
"359","AF","7","van der Helm, G. H. P., School of Social Studies, Leiden University of Applied Sciences, Leiden, Netherlands"
"360","AF","7","van Brandenburg, M. E. T., Juzt Youth Care, Breda, Netherlands"
"361","AF","7","Mecking, M., Juzt Youth Care, Breda, Netherlands"
"362","AF","7","Wissink, I. B., Department of Forensic Child and Youth Care Sciences, University of Amsterdam, Amsterdam, Netherlands"
"363","AF","7","Stams, G. J. J. M., Department of Forensic Child and Youth Care Sciences, University of Amsterdam, Amsterdam, Netherlands"
"364","AD","7","Strijbosch, E. L. L., Juzt Youth Care, Erasmusweg 34, 4834 AA, Breda, Netherlands, e.strijbosch@juzt.nl"
"365","SO","7","Research on Social Work Practice"
"366","VI","7","24"
"367","IP","7","4"
"368","SD","7","Jul, 2014"
"369","YR","7","2014"
"370","PM","7","Jul, 2014"
"371","PG","7","462-469"
"372","PC","7","8"
"373","SP","7","462"
"374","PU","7","US : Sage Publications"
"375","PN","7","8"
"376","SN","7","1049-7315, Print"
"377","SN","7","1552-7581, Electronic"
"378","DO","7","10.1177/1049731513510045"
"379","LA","7","English"
"380","KP","7","Group Climate Instrument"
"381","KP","7","residential care"
"382","KP","7","test development"
"383","KP","7","test validity"
"384","KP","7","test reliability"
"385","KP","7","psychometrics"
"386","KP","7","pediatrics"
"387","SU","7","Psychometrics; Residential Care Institutions; Test Construction; Test Reliability; Test Validity"
"388","AB","7","Purpose: This study describes the development and validation of the Group Climate Instrument for Children aged 8 to 15 years (GCIC 8-15), which purports to measure the quality of group climate in residential care. Methods: A confirmatory factor analysis was performed on data of 117 children in Dutch residential youth care. Reliability analysis was performed and concurrent validity was tested. Results: An adequate fit of a two-factor model indicated construct validity of the GCIC 8-15. Reliability coefficients were good, and a significant correlation between perceived group climate and treatment motivation supported concurrent validity. Discussion: The GCIC 8-15 can be used to identify positive and negative aspects of group climate in residential youth care and enables further group climate research with children. (PsycINFO Database Record (c) 2014 APA, all rights reserved) (journal abstract)"
"389","MJ","7","Psychometrics; Residential Care Institutions; Test Construction; Test Reliability; Test Validity"
"390","MN","7","Measurement; Pediatrics"
"391","CL","7","Clinical Psychological Testing (2224)"
"392","CL","7","Nursing Homes & Residential Care (3377)"
"393","PO","7","Human (10)"
"394","PO","7","Male (30)"
"395","PO","7","Female (40)"
"396","LO","7","Netherlands"
"397","AG","7","Childhood (birth-12 yrs) (100)"
"398","AG","7","School Age (6-12 yrs) (180)"
"399","AG","7","Adolescence (13-17 yrs) (200)"
"400","TM","7","Group Climate Instrument"
"401","TM","7","Adolescent Treatment Motivation Questionnaire"
"402","GR","7","Sponsor: Province of Noord-Brabant, Netherlands; Recipients: No recipient indicated"
"403","MD","7","Empirical Study"
"404","MD","7","Quantitative Study"
"405","PT","7","Journal"
"406","PT","7","Peer Reviewed Journal"
"407","AT","7","Journal Article"
"408","MT","7","Electronic"
"409","RD","7","20140818"
"410","AN","7","2014-28121-007"
"411","CP","7","The Author(s). 2013"
"412","UR","7","http://proxy.lib.umich.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2014-28121-007&site=ehost-live&scope=site"
"413","TI","8","Validation of a tool to assess and track undergraduate attitudes toward those living in poverty."
"414","PS","8","Publication Status: Fully Published"
"415","AU","8","Blair, Kevin D."
"416","AU","8","Brown, Marlo"
"417","AU","8","Schoepflin, Todd"
"418","AU","8","Taylor, David B."
"419","AF","8","Blair, Kevin D., blairkd@niagara.edu, Niagara University, Lewiston, NY, US"
"420","AF","8","Brown, Marlo, Niagara University, Lewiston, NY, US"
"421","AF","8","Schoepflin, Todd, Niagara University, Lewiston, NY, US"
"422","AF","8","Taylor, David B., Niagara University, Lewiston, NY, US"
"423","AD","8","Blair, Kevin D., Niagara University, Lewiston, NY, US, 14109, blairkd@niagara.edu"
"424","SO","8","Research on Social Work Practice"
"425","VI","8","24"
"426","IP","8","4"
"427","SD","8","Jul, 2014"
"428","YR","8","2014"
"429","PM","8","Jul, 2014"
"430","PG","8","448-461"
"431","PC","8","14"
"432","SP","8","448"
"433","PU","8","US : Sage Publications"
"434","PN","8","14"
"435","SN","8","1049-7315, Print"
"436","SN","8","1552-7581, Electronic"
"437","DO","8","10.1177/1049731513497404"
"438","LA","8","English"
"439","KP","8","Undergraduate Perceptions of Poverty Tracking Survey"
"440","KP","8","psychometrics"
"441","KP","8","test development"
"442","KP","8","test validity"
"443","KP","8","test reliability"
"444","SU","8","Psychometrics; Student Attitudes; Test Construction; Test Reliability; Test Validity"
"445","AB","8","Purpose: This article describes the development and validation of the Undergraduate Perceptions of Poverty Tracking Survey (UPPTS). Method: Data were collected from 301 undergraduates at a small university in the Northeast and analyzed using exploratory factor analysis augmented by random qualitative validation. Results: The resulting survey contains 39 questions and has six factors that meet empirical standards for validity and reliability. The UPPTS provides information regarding undergraduate students’ perceptions of those living in poverty in three areas: (1) general attitudes toward those living in poverty, including a sense of the students’ underlying explanation for why someone may be poor; (2) understanding of and empathy for those living in poverty; and (3) commitment to addressing poverty via direct action or support for programs/services that aid those in poverty. Discussion: The UPPTS builds upon the concepts of a lack of social empathy and cognitive distancing as principal reasons why people fail to do more to help the poor via either direct action or support for programs that will aid the poor. Further, social work and other educators may use the UPPTS to guide their efforts in poverty education and to track the progress of their efforts with undergraduate students. (PsycINFO Database Record (c) 2014 APA, all rights reserved) (journal abstract)"
"446","MJ","8","Psychometrics; Student Attitudes; Test Construction; Test Reliability; Test Validity"
"447","MN","8","College Students; Poverty; Surveys; Tracking"
"448","CL","8","Educational Measurement (2227)"
"449","CL","8","Classroom Dynamics & Student Adjustment & Attitudes (3560)"
"450","PO","8","Human (10)"
"451","PO","8","Male (30)"
"452","PO","8","Female (40)"
"453","LO","8","US"
"454","AG","8","Adulthood (18 yrs & older) (300)"
"455","AG","8","Young Adulthood (18-29 yrs) (320)"
"456","AG","8","Thirties (30-39 yrs) (340)"
"457","AG","8","Middle Age (40-64 yrs) (360)"
"458","TM","8","Undergraduate Perceptions of Poverty Tracking Survey"
"459","TM","8","Atherton Scale"
"460","MD","8","Empirical Study"
"461","MD","8","Quantitative Study"
"462","PT","8","Journal"
"463","PT","8","Peer Reviewed Journal"
"464","AT","8","Journal Article"
"465","MT","8","Electronic"
"466","RD","8","20140818"
"467","AN","8","2014-28121-006"
"468","CP","8","The Author(s). 2014"
"469","UR","8","http://proxy.lib.umich.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2014-28121-006&site=ehost-live&scope=site"
